MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,0,70,11200,1,2,3,4,5,6,7,70,9,9,10,34,5,5,1965,1965,71,13,59,59,36,0,17,17,37,17,17,19,72,906,21,0,134,1040,22,23,24,25,1040,0,0,1040,1,0,1,0,3,1,17,5,26,0,2,46,1965,21,1,384,17,17,24,0,0,0,0,0,0,2,2,2,0,2,2008,29,30,129500
60,0,85,11924,1,2,39,4,5,6,7,73,9,9,10,11,9,5,2005,2006,71,13,74,44,56,286,23,17,18,23,17,19,20,998,21,0,177,1175,22,23,24,25,1182,1142,0,2324,1,0,3,0,4,1,23,11,26,2,16,75,2005,76,3,736,17,17,24,147,21,0,0,0,0,2,2,2,0,7,2006,77,78,345000
20,0,2,12968,1,2,79,4,5,6,7,70,9,9,10,34,5,6,1962,1962,71,13,59,80,36,0,17,17,37,17,17,19,38,737,21,0,175,912,22,17,24,25,912,0,0,912,1,0,1,0,2,1,17,4,26,0,2,46,1962,21,1,352,17,17,24,140,0,0,0,176,0,2,2,2,0,9,2008,29,30,144000
20,0,91,10652,1,2,39,4,5,6,7,8,9,9,10,34,7,5,2006,2007,12,13,14,14,56,306,16,17,18,16,17,49,21,0,21,0,1494,1494,22,23,24,25,1494,0,0,1494,0,0,2,0,3,1,16,7,26,1,16,27,2006,28,3,840,17,17,24,160,33,0,0,0,0,2,2,2,0,8,2007,77,78,279500
20,0,2,10920,1,2,39,4,5,41,7,81,9,9,10,34,6,5,1960,1960,71,13,35,35,15,212,17,17,37,17,17,19,60,733,21,0,520,1253,22,17,24,25,1253,0,0,1253,1,0,1,1,2,1,17,5,26,1,66,27,1960,28,1,352,17,17,24,0,213,176,0,0,0,2,82,2,0,5,2008,29,30,157000
45,61,51,6120,1,2,3,4,5,41,7,67,9,9,10,69,7,8,1929,2001,12,13,43,43,36,0,17,17,45,17,17,19,21,0,21,0,832,832,22,23,24,83,854,0,0,854,0,0,1,0,2,1,17,5,26,0,2,46,1991,21,2,576,17,17,24,48,112,0,0,0,0,2,84,2,0,7,2007,29,30,132000
20,0,2,11241,1,2,39,4,5,85,7,81,9,9,10,34,6,7,1970,1970,12,13,43,43,15,180,17,17,37,17,17,19,38,578,21,0,426,1004,22,23,24,25,1004,0,0,1004,1,0,1,0,2,1,17,5,26,1,17,27,1970,76,2,480,17,17,24,0,0,0,0,0,0,2,2,54,700,3,2010,29,30,149000
90,0,72,10791,1,2,3,4,5,6,7,70,9,9,86,34,4,5,1967,1967,12,13,35,35,36,0,17,17,87,2,2,2,2,0,2,0,0,0,22,17,24,25,1296,0,0,1296,0,0,2,0,2,2,17,6,26,0,2,88,1967,21,2,516,17,17,24,0,0,0,0,0,0,2,2,54,500,10,2006,29,30,90000
20,0,66,13695,1,2,3,4,5,6,7,89,90,9,10,34,5,5,2004,2004,12,13,14,14,36,0,17,17,18,17,17,19,20,646,21,0,468,1114,22,23,24,25,1114,0,0,1114,1,0,1,1,3,1,16,6,26,0,2,46,2004,21,2,576,17,17,24,0,102,0,0,0,0,2,2,2,0,6,2008,29,30,159000
20,0,70,7560,1,2,3,4,5,6,7,81,9,9,10,34,5,6,1958,1965,71,13,15,80,36,0,17,17,37,17,17,19,91,504,21,0,525,1029,22,17,24,25,1339,0,0,1339,0,0,1,0,3,1,17,6,65,0,2,27,1958,21,1,294,17,17,24,0,0,0,0,0,0,2,53,2,0,5,2009,92,47,139000
60,0,101,14215,1,2,39,4,5,41,7,73,9,9,10,11,8,5,2005,2006,12,13,14,14,15,380,16,17,18,23,17,49,21,0,21,0,1158,1158,22,23,24,25,1158,1218,0,2376,0,0,3,1,4,1,16,9,26,1,16,75,2005,28,3,853,17,17,24,240,154,0,0,0,0,2,2,2,0,11,2006,77,78,325300
45,61,57,7449,1,93,3,94,5,6,7,95,9,9,10,69,7,7,1930,1950,12,13,43,43,36,0,17,17,18,17,17,19,21,0,21,0,637,637,22,23,24,64,1108,0,0,1108,0,0,1,0,3,1,16,6,26,1,16,27,1930,21,1,280,17,17,96,0,0,205,0,0,0,2,84,2,0,6,2007,29,30,139400
20,0,75,9742,1,2,3,4,5,6,7,8,9,9,10,34,8,5,2002,2002,71,13,14,14,15,281,16,17,18,16,17,19,21,0,21,0,1777,1777,22,23,24,25,1795,0,0,1795,0,0,2,0,3,1,16,7,26,1,16,27,2002,28,2,534,17,17,24,171,159,0,0,0,0,2,2,2,0,9,2008,29,30,230000
120,61,44,4224,1,2,3,4,5,6,7,97,9,9,98,34,5,7,1976,1976,12,13,99,100,36,0,17,17,18,16,17,19,20,840,21,0,200,1040,22,17,24,25,1060,0,0,1060,1,0,1,0,3,1,17,6,26,1,17,27,1976,21,2,572,17,17,24,100,110,0,0,0,0,2,2,2,0,6,2007,29,30,129900
20,0,2,8246,1,2,39,4,5,6,7,70,9,9,10,34,5,8,1968,2001,12,13,80,80,36,0,17,16,37,17,17,40,72,188,38,668,204,1060,22,23,24,25,1060,0,0,1060,1,0,1,0,3,1,16,6,26,1,17,27,1968,21,1,270,17,17,24,406,90,0,0,0,0,2,53,2,0,5,2010,29,30,154000
20,0,110,14230,1,2,3,4,5,41,7,73,9,9,10,34,8,5,2007,2007,12,13,14,14,56,640,16,17,18,16,17,19,21,0,21,0,1566,1566,22,23,24,25,1600,0,0,1600,0,0,2,0,3,1,16,7,26,1,16,27,2007,28,3,890,17,17,24,0,56,0,0,0,0,2,2,2,0,7,2009,29,30,256300
20,0,60,7200,1,2,3,4,5,41,7,81,9,9,10,34,5,7,1951,2000,12,13,43,43,36,0,17,17,37,17,17,40,60,234,72,486,180,900,22,17,24,25,900,0,0,900,0,1,1,0,3,1,16,5,26,0,2,46,2005,21,2,576,17,17,24,222,32,0,0,0,0,2,2,2,0,5,2010,29,30,134800
20,0,98,11478,1,2,3,4,5,6,7,73,9,9,10,34,8,5,2007,2008,12,13,14,14,56,200,16,17,18,23,17,19,20,1218,21,0,486,1704,22,23,24,25,1704,0,0,1704,1,0,2,0,3,1,16,7,26,1,16,27,2008,28,3,772,17,17,24,0,50,0,0,0,0,2,2,2,0,5,2010,29,30,306000
20,0,47,16321,1,2,39,4,5,85,7,81,9,9,10,34,5,6,1957,1997,12,13,35,35,36,0,17,17,37,17,17,16,60,1277,21,0,207,1484,22,17,24,25,1600,0,0,1600,1,0,1,0,2,1,17,6,26,2,16,27,1957,28,1,319,17,17,24,288,258,0,0,0,0,2,2,2,0,12,2006,29,30,207500
30,61,60,6324,1,2,39,4,5,6,7,67,33,101,10,34,4,6,1927,1950,12,13,35,35,36,0,17,17,45,17,17,19,21,0,21,0,520,520,22,66,96,25,520,0,0,520,0,0,1,0,1,1,66,4,26,0,2,46,1920,21,1,240,66,17,24,49,0,87,0,0,0,2,2,2,0,5,2008,29,30,68500
70,102,50,8500,1,1,3,4,5,6,7,95,33,9,10,11,4,4,1920,1950,103,13,15,15,36,0,17,66,45,17,17,19,21,0,21,0,649,649,22,17,96,25,649,668,0,1317,0,0,1,0,3,1,17,6,26,0,2,46,1920,21,1,250,17,66,96,0,54,172,0,0,0,2,53,2,0,7,2008,29,30,40000
20,0,2,8544,1,2,39,4,5,85,7,70,9,9,10,34,5,6,1966,2006,12,13,59,59,36,0,17,17,37,17,17,19,21,0,21,0,1228,1228,22,16,24,25,1228,0,0,1228,0,0,1,1,3,1,16,6,26,0,2,27,1966,21,1,271,17,17,24,0,65,0,0,0,0,2,53,2,0,6,2008,29,30,149350
20,0,85,11049,1,2,3,4,5,41,7,8,9,9,10,34,8,5,2007,2007,12,13,14,14,36,0,16,17,18,23,17,49,21,0,21,0,1234,1234,22,23,24,25,1234,0,0,1234,0,0,2,0,3,1,16,7,26,0,2,27,2007,28,2,484,17,17,24,0,30,0,0,0,0,2,2,2,0,1,2008,29,30,179900
20,0,70,10552,1,2,39,4,5,6,7,81,9,9,10,34,5,5,1959,1959,71,13,15,15,36,0,17,17,37,17,17,19,72,1018,21,0,380,1398,22,16,24,25,1700,0,0,1700,0,1,1,1,4,1,16,6,26,1,16,27,1959,28,2,447,17,17,24,0,38,0,0,0,0,2,2,2,0,4,2010,29,30,165500
120,0,60,7313,1,2,3,4,5,6,7,73,9,9,98,34,9,5,2005,2005,71,13,35,35,15,246,23,17,18,23,17,19,20,1153,21,0,408,1561,22,23,24,25,1561,0,0,1561,1,0,2,0,2,1,23,6,26,1,16,27,2005,76,2,556,17,17,24,203,47,0,0,0,0,2,2,2,0,8,2007,29,30,277500
60,0,108,13418,1,2,3,4,5,6,7,73,9,9,10,11,8,5,2004,2005,12,13,14,14,56,132,16,17,18,23,17,49,21,0,21,0,1117,1117,22,23,24,25,1132,1320,0,2452,0,0,3,1,4,1,16,9,26,1,16,75,2004,76,3,691,17,17,24,113,32,0,0,0,0,2,2,2,0,9,2006,29,30,309000
20,0,112,10859,1,2,3,4,5,41,7,8,9,9,10,34,5,5,1994,1995,12,13,14,14,36,0,17,17,18,16,17,19,21,0,21,0,1097,1097,22,23,24,25,1097,0,0,1097,0,0,1,1,3,1,17,6,26,0,2,27,1995,21,2,672,17,17,24,392,64,0,0,0,0,2,2,2,0,6,2009,29,30,145000
20,0,74,8532,1,2,3,4,5,6,7,81,9,9,10,34,5,6,1954,1990,71,13,43,43,15,650,17,17,37,17,17,19,72,1213,21,0,84,1297,22,16,24,25,1297,0,0,1297,0,1,1,0,3,1,17,5,26,1,17,27,1954,76,2,498,17,17,24,0,0,0,0,0,0,2,2,2,0,10,2009,29,30,153000
20,0,68,7922,1,2,3,4,5,6,7,81,9,9,10,34,5,7,1953,2007,12,13,14,14,36,0,17,16,37,17,17,19,20,731,21,0,326,1057,22,17,24,25,1057,0,0,1057,1,0,1,0,3,1,16,5,26,0,2,46,1953,21,1,246,17,17,24,0,52,0,0,0,0,2,2,2,0,1,2010,29,47,109000
90,0,65,6040,1,2,3,4,5,6,7,104,9,9,86,34,4,5,1955,1955,12,13,105,80,36,0,17,17,18,2,2,2,2,0,2,0,0,0,22,17,96,106,1152,0,0,1152,0,0,2,0,2,2,66,6,26,0,2,2,2,2,0,0,2,2,96,0,0,0,0,0,0,2,2,2,0,6,2008,29,107,82000
20,0,84,8658,1,2,3,4,5,6,7,81,9,9,10,34,6,5,1965,1965,12,13,43,43,15,101,17,17,37,17,17,19,72,643,21,0,445,1088,22,23,24,25,1324,0,0,1324,0,0,2,0,3,1,17,6,26,1,17,27,1965,28,2,440,17,17,24,0,138,0,0,0,0,2,82,2,0,12,2006,29,47,160000
20,0,115,16905,1,2,3,4,5,6,7,108,9,9,10,34,5,6,1959,1959,12,13,14,14,36,0,17,16,37,17,17,16,60,967,21,0,383,1350,22,16,24,25,1328,0,0,1328,0,1,1,1,2,1,17,5,26,2,16,27,1959,28,1,308,17,17,109,0,104,0,0,0,0,2,2,2,0,7,2007,29,30,170000
85,0,2,9180,1,2,39,4,5,85,7,89,9,9,10,110,5,7,1983,1983,12,13,59,59,36,0,17,17,37,16,17,49,38,747,91,93,0,840,22,16,24,25,884,0,0,884,1,0,1,0,2,1,16,5,26,0,2,27,1983,28,2,504,17,16,24,240,0,0,0,0,0,2,53,2,0,12,2007,29,30,144000
20,0,2,9200,1,2,39,4,5,85,7,8,9,9,10,34,5,6,1975,1980,71,13,14,14,36,0,17,17,37,16,17,49,91,280,60,491,167,938,22,17,24,25,938,0,0,938,1,0,1,0,3,1,17,5,26,0,2,46,1977,21,1,308,17,17,24,145,0,0,0,0,0,2,53,2,0,7,2008,29,30,130250
20,0,70,7945,1,2,3,4,5,6,7,81,9,9,10,34,5,6,1959,1959,12,13,15,43,36,0,17,17,37,17,17,19,38,179,60,506,465,1150,22,23,24,83,1150,0,0,1150,1,0,1,0,3,1,17,6,26,0,2,27,1959,28,1,300,17,17,24,0,0,0,0,0,0,2,2,2,0,5,2006,29,30,141000
120,0,61,7658,1,2,3,4,5,6,7,73,9,9,98,34,9,5,2005,2005,71,13,35,35,15,412,23,17,18,23,17,19,20,456,21,0,1296,1752,22,23,24,25,1752,0,0,1752,1,0,2,0,2,1,23,6,26,1,16,27,2005,28,2,576,17,17,24,196,82,0,0,0,0,2,2,2,0,2,2010,29,30,319900
50,0,48,12822,1,2,39,4,5,85,7,50,9,9,10,51,7,5,2003,2003,12,13,14,14,36,0,16,17,18,23,17,19,20,1351,21,0,83,1434,22,23,24,25,1518,631,0,2149,1,0,1,1,1,1,16,6,26,1,23,27,2003,28,2,670,17,17,24,168,43,0,0,198,0,2,2,2,0,8,2009,29,47,239686
20,111,84,11096,1,2,3,4,5,6,7,55,9,9,10,34,8,5,2006,2006,12,13,14,14,36,0,16,17,18,16,17,49,20,24,21,0,1632,1656,22,23,24,25,1656,0,0,1656,0,0,2,0,3,1,16,7,26,0,2,27,2006,28,3,826,17,17,24,0,146,0,0,0,0,2,2,2,0,7,2007,29,30,249700
190,61,33,4456,1,2,3,4,5,6,7,62,9,9,68,11,4,5,1920,2008,12,13,35,35,36,0,17,17,45,17,17,19,21,0,21,0,736,736,22,16,24,25,736,716,0,1452,0,0,2,0,2,3,17,8,26,0,2,2,2,2,0,0,2,2,96,0,0,102,0,0,0,2,2,2,0,6,2009,77,78,113000
20,0,66,7742,1,2,3,4,5,6,7,70,9,9,10,34,5,7,1966,1966,12,13,59,59,36,0,17,17,37,17,17,19,60,763,21,0,192,955,22,23,24,25,955,0,0,955,1,0,1,0,3,1,17,6,26,0,2,27,1966,21,1,386,17,17,24,0,0,0,0,0,0,2,53,2,0,1,2007,29,30,127000
60,0,2,13869,1,2,79,4,5,41,7,112,9,9,10,11,6,6,1997,1997,12,13,14,14,36,0,17,17,18,16,17,49,20,182,21,0,612,794,22,16,24,25,794,676,0,1470,0,1,2,0,3,1,17,6,26,0,2,27,1997,76,2,388,17,17,24,0,75,0,0,0,0,2,2,2,0,7,2007,29,30,177000
50,61,52,6240,1,2,3,4,5,6,7,67,9,9,10,51,6,6,1934,1950,12,13,43,43,36,0,17,17,18,17,17,19,21,0,21,0,816,816,22,17,24,25,816,0,360,1176,0,0,1,0,3,1,17,6,26,1,16,46,1985,21,2,528,17,17,24,112,0,0,0,0,0,2,53,54,400,9,2006,29,30,114500
90,61,110,8472,93,2,79,94,5,41,113,95,101,9,86,34,5,5,1963,1963,12,13,43,43,36,0,66,17,37,16,17,16,91,104,20,712,0,816,22,17,96,25,816,0,0,816,1,0,1,0,2,1,17,5,26,0,2,88,1963,21,2,516,17,17,24,106,0,0,0,0,0,2,2,2,0,5,2010,29,30,110000
20,0,68,50271,1,2,39,114,5,6,7,32,9,9,10,34,9,5,1981,1987,12,115,74,44,36,0,16,17,37,23,17,16,20,1810,21,0,32,1842,22,16,24,25,1842,0,0,1842,2,0,0,1,0,1,16,5,26,1,16,27,1981,76,3,894,17,17,24,857,72,0,0,0,0,2,2,2,0,11,2006,29,30,385000
80,0,60,7134,1,2,3,94,5,6,113,81,9,9,10,116,5,5,1955,1955,12,13,35,35,36,0,17,17,37,17,17,19,38,384,21,0,0,384,22,17,24,25,1360,0,0,1360,0,0,1,0,3,1,17,6,65,1,17,46,1962,21,2,572,17,17,24,0,50,0,0,0,0,2,53,2,0,2,2007,29,30,130000
20,0,100,10175,1,2,39,4,5,6,7,81,9,9,10,34,6,5,1964,1964,12,13,59,80,15,272,17,17,37,17,17,19,60,490,21,0,935,1425,22,16,24,25,1425,0,0,1425,0,0,2,0,3,1,17,7,26,1,16,27,1964,28,2,576,17,17,24,0,0,0,407,0,0,2,2,2,0,7,2008,29,30,180500
160,111,24,2645,1,1,3,4,5,6,7,55,9,9,117,11,8,5,1999,2000,12,13,35,35,15,456,16,17,18,16,17,19,20,649,21,0,321,970,22,23,24,25,983,756,0,1739,1,0,2,1,3,1,16,7,26,0,2,27,1999,76,2,480,17,17,24,115,0,0,0,0,0,2,2,2,0,8,2009,29,47,172500
60,0,89,11645,1,2,39,4,5,41,7,8,9,9,10,11,7,5,2004,2004,12,13,14,14,36,0,16,17,18,16,17,19,21,0,21,0,860,860,22,23,24,25,860,860,0,1720,0,0,2,1,3,1,16,7,26,0,2,27,2004,28,2,565,17,17,24,0,70,0,0,0,0,2,2,2,0,8,2006,29,30,196500
60,0,66,13682,1,2,79,118,5,85,7,119,9,9,10,11,10,5,2006,2006,71,13,14,14,15,1031,23,17,18,23,17,16,21,0,21,0,1410,1410,22,23,24,25,1426,1519,0,2945,0,0,3,1,3,1,16,10,26,1,16,75,2006,76,3,641,17,17,24,192,0,37,0,0,0,2,2,2,0,10,2006,77,78,438780
20,0,60,7200,1,2,3,94,5,6,7,8,9,9,10,34,5,7,1972,1972,12,13,59,59,36,0,17,17,37,17,17,49,38,632,21,0,148,780,22,23,24,25,780,0,0,780,0,0,1,0,2,1,17,4,26,0,2,46,1973,21,1,352,17,17,24,196,0,0,0,0,0,2,53,2,0,1,2008,29,30,124900
20,0,63,13072,1,2,3,4,5,6,7,89,90,9,10,34,6,5,2004,2004,12,13,14,14,36,0,17,17,18,16,17,19,38,941,21,0,217,1158,22,23,24,25,1158,0,0,1158,1,0,1,1,3,1,16,5,26,0,2,46,2006,21,2,576,17,17,24,0,50,0,0,0,0,2,2,2,0,5,2006,77,78,158000
75,61,60,7200,1,2,3,4,5,6,7,95,9,9,10,120,5,7,1920,1996,12,13,35,35,36,0,17,17,45,17,66,19,21,0,21,0,530,530,22,17,96,25,581,530,0,1111,0,0,1,0,3,1,66,6,26,0,2,46,1935,21,1,288,17,17,96,0,0,144,0,0,0,2,2,2,0,3,2007,29,30,101000
120,0,44,6442,1,2,39,4,5,6,7,73,9,9,98,34,8,5,2006,2006,12,13,14,14,56,178,16,17,18,16,16,40,20,24,21,0,1346,1370,22,23,24,25,1370,0,0,1370,0,0,2,0,2,1,16,6,26,1,16,27,2006,28,2,484,17,17,24,120,49,0,0,0,0,2,2,2,0,10,2007,29,30,202500
70,61,50,10300,1,2,39,94,5,6,7,62,121,33,10,11,7,6,1921,1950,12,13,122,122,36,0,17,17,45,17,17,19,21,0,21,0,576,576,22,16,24,25,902,808,0,1710,0,0,2,0,3,1,17,9,26,0,2,46,1990,21,2,480,17,17,24,12,11,64,0,0,0,2,84,2,0,4,2010,29,30,140000
60,0,2,9375,1,2,3,4,5,6,7,8,9,9,10,11,7,5,1997,1998,12,13,14,14,15,573,17,17,18,16,17,19,20,739,21,0,318,1057,22,23,24,25,1057,977,0,2034,1,0,2,1,3,1,16,8,26,0,2,27,1998,28,2,645,17,17,24,576,36,0,0,0,0,2,84,2,0,2,2009,29,30,219500
60,0,76,9591,1,2,3,4,5,6,7,73,9,9,10,11,8,5,2004,2005,12,13,14,14,15,344,16,17,18,23,17,49,21,0,21,0,1143,1143,22,23,24,25,1143,1330,0,2473,0,0,2,1,4,1,16,9,26,1,16,75,2004,28,3,852,17,17,24,192,151,0,0,0,0,2,2,2,0,10,2007,29,30,317000
20,0,2,19900,1,2,3,4,5,6,7,81,123,9,10,34,7,5,1970,1989,12,13,80,80,15,287,17,17,37,16,17,16,20,912,21,0,1035,1947,22,17,24,25,2207,0,0,2207,1,0,2,0,3,1,17,7,65,1,16,27,1970,28,2,576,17,17,24,301,0,0,0,0,0,2,2,2,0,7,2010,29,30,180000
20,0,72,10665,1,2,39,4,5,6,7,8,9,9,10,34,7,5,2003,2003,12,13,14,14,15,167,16,17,18,16,17,49,20,1013,21,0,440,1453,22,23,24,25,1479,0,0,1479,1,0,2,0,3,1,16,7,26,0,2,27,2003,28,2,558,17,17,24,144,29,0,0,0,0,2,2,2,0,6,2007,29,30,226000
30,61,47,4608,1,2,3,4,5,41,7,62,63,9,10,34,4,6,1945,1950,12,13,35,35,36,0,17,16,37,17,17,19,21,0,21,0,747,747,22,17,24,25,747,0,0,747,0,0,1,0,2,1,17,4,26,0,2,27,1945,21,1,220,17,17,24,0,0,0,0,0,0,2,2,2,0,6,2010,29,30,80000
50,0,81,15593,1,2,3,4,5,41,7,124,9,9,10,51,7,4,1953,1953,12,13,15,105,36,0,16,17,37,17,17,19,60,603,21,0,701,1304,125,17,24,25,1304,983,0,2287,0,0,2,0,3,1,17,7,26,1,17,27,1953,76,2,667,17,17,24,0,21,114,0,0,0,2,2,2,0,7,2006,29,30,225000
20,0,95,13651,1,2,39,4,5,6,7,81,9,9,10,34,7,6,1973,1973,12,13,80,80,15,1115,17,16,37,16,17,16,38,1880,21,0,343,2223,22,23,24,25,2223,0,0,2223,1,0,2,0,3,1,17,8,26,2,16,27,1973,76,2,516,17,17,24,300,0,0,0,0,0,2,2,2,0,2,2007,29,30,244000
20,0,69,7599,1,2,3,4,5,41,7,50,9,9,10,34,4,6,1982,2006,12,13,59,80,36,0,17,17,37,17,17,19,38,565,21,0,280,845,22,17,24,25,845,0,0,845,1,0,1,0,2,1,17,4,26,0,2,46,1987,21,2,360,17,17,24,0,0,0,0,0,0,2,2,2,0,6,2007,29,30,129500
60,0,74,10141,1,2,39,4,5,41,7,112,9,9,10,11,7,5,1998,1998,12,13,14,14,15,40,17,17,18,16,17,19,21,0,21,0,832,832,22,16,24,25,885,833,0,1718,0,0,2,1,3,1,17,7,26,1,17,27,1998,76,2,427,17,17,24,0,94,0,0,291,0,2,2,2,0,12,2009,29,30,185000
20,0,85,10200,1,2,3,4,5,6,7,81,9,9,10,34,5,7,1954,2003,12,13,43,43,15,104,17,17,37,17,17,19,38,320,60,362,404,1086,22,16,24,25,1086,0,0,1086,1,0,1,0,3,1,17,6,26,0,2,27,1989,21,2,490,17,17,24,0,0,0,0,0,0,2,82,2,0,5,2010,29,30,144900
50,61,60,5790,1,2,3,4,5,41,7,62,9,9,10,11,3,6,1915,1950,103,13,14,14,36,0,16,16,37,66,17,19,21,0,21,0,840,840,22,16,96,25,840,765,0,1605,0,0,2,0,3,2,17,8,26,0,2,46,1915,21,1,379,17,17,24,0,0,202,0,0,0,2,2,2,0,5,2010,29,30,107400
180,61,21,1596,1,2,3,4,5,6,7,97,9,9,117,116,4,5,1973,1973,12,13,99,100,36,0,17,17,37,16,17,16,20,462,21,0,0,462,22,17,24,25,526,462,0,988,1,0,1,0,2,1,17,5,26,0,2,75,1973,21,1,297,17,17,24,120,101,0,0,0,0,2,82,2,0,11,2009,29,30,91000
